year,flat_type,resale_price
2012-03,2 ROOM,250000
2012-03,2 ROOM,265000
2012-03,3 ROOM,315000
2012-03,3 ROOM,320000
2012-03,3 ROOM,321000
2012-03,3 ROOM,321000
2012-03,3 ROOM,323000
2012-03,3 ROOM,325000
2012-03,3 ROOM,328000
2012-03,3 ROOM,330000
2012-03,3 ROOM,331000
2012-03,3 ROOM,332000
2012-03,3 ROOM,333000
2012-03,3 ROOM,333000
2012-03,3 ROOM,335000
2012-03,3 ROOM,336000
2012-03,3 ROOM,336000
2012-03,3 ROOM,336000
2012-03,3 ROOM,338000
2012-03,3 ROOM,339000
2012-03,3 ROOM,339000
2012-03,3 ROOM,340000
2012-03,3 ROOM,340000
2012-03,3 ROOM,342000
2012-03,3 ROOM,342000
2012-03,3 ROOM,347000
2012-03,3 ROOM,348000
2012-03,3 ROOM,350000
2012-03,3 ROOM,350000
2012-03,3 ROOM,350000
2012-03,3 ROOM,350000
2012-03,3 ROOM,353000
2012-03,3 ROOM,355000
2012-03,3 ROOM,357000
2012-03,3 ROOM,358000
2012-03,3 ROOM,360000
2012-03,3 ROOM,363000
2012-03,3 ROOM,367000
2012-03,3 ROOM,368000
2012-03,3 ROOM,368000
2012-03,3 ROOM,368000
2012-03,3 ROOM,368000
2012-03,3 ROOM,368000
2012-03,3 ROOM,370000
2012-03,3 ROOM,372000
2012-03,3 ROOM,373000
2012-03,3 ROOM,377000
2012-03,3 ROOM,379000
2012-03,3 ROOM,380000
2012-03,3 ROOM,380000
2012-03,3 ROOM,380000
2012-03,3 ROOM,380000
2012-03,3 ROOM,385000
2012-03,3 ROOM,385000
2012-03,3 ROOM,390000
2012-03,3 ROOM,392000
2012-03,3 ROOM,398000
2012-03,3 ROOM,398000
2012-03,3 ROOM,399000
2012-03,3 ROOM,400000
2012-03,3 ROOM,400000
2012-03,3 ROOM,400000
2012-03,4 ROOM,400000
2012-03,3 ROOM,403000
2012-03,3 ROOM,411000
2012-03,4 ROOM,411000
2012-03,3 ROOM,414000
2012-03,3 ROOM,418000
2012-03,3 ROOM,426888
2012-03,4 ROOM,427000
2012-03,3 ROOM,428000
2012-03,4 ROOM,430000
2012-03,4 ROOM,433000
2012-03,4 ROOM,434000
2012-03,3 ROOM,434800
2012-03,3 ROOM,435000
2012-03,4 ROOM,440000
2012-03,4 ROOM,443000
2012-03,4 ROOM,445000
2012-03,4 ROOM,448000
2012-03,4 ROOM,455000
2012-03,4 ROOM,455000
2012-03,4 ROOM,457000
2012-03,3 ROOM,460000
2012-03,4 ROOM,460000
2012-03,4 ROOM,460000
2012-03,4 ROOM,478000
2012-03,4 ROOM,478000
2012-03,4 ROOM,480000
2012-03,4 ROOM,480000
2012-03,4 ROOM,480000
2012-03,4 ROOM,481000
2012-03,4 ROOM,493000
2012-03,4 ROOM,505000
2012-03,4 ROOM,508000
2012-03,5 ROOM,515000
2012-03,4 ROOM,518000
2012-03,4 ROOM,533000
2012-03,5 ROOM,538000
2012-03,4 ROOM,538000
2012-03,5 ROOM,550000
2012-03,5 ROOM,590000
2012-03,4 ROOM,596000
2012-03,4 ROOM,600000
2012-03,5 ROOM,603000
2012-03,5 ROOM,605000
2012-03,4 ROOM,610000
2012-03,5 ROOM,620000
2012-03,5 ROOM,623000
2012-03,5 ROOM,630000
2012-03,4 ROOM,635000
2012-03,5 ROOM,655000
2012-03,5 ROOM,658000
2012-03,5 ROOM,670000
2012-03,5 ROOM,686000
2012-03,5 ROOM,686000
2012-03,5 ROOM,767000
2012-03,5 ROOM,775000
2012-03,5 ROOM,785000
2012-03,2 ROOM,249000
2012-03,2 ROOM,268000
2012-03,3 ROOM,292000
2012-03,3 ROOM,294000
2012-03,3 ROOM,295000
2012-03,3 ROOM,295000
2012-03,3 ROOM,300000
2012-03,3 ROOM,300000
2012-03,3 ROOM,300000
2012-03,3 ROOM,301000
2012-03,3 ROOM,303000
2012-03,3 ROOM,303000
2012-03,3 ROOM,305000
2012-03,3 ROOM,305000
2012-03,3 ROOM,306000
2012-03,3 ROOM,307000
2012-03,3 ROOM,307000
2012-03,3 ROOM,308000
2012-03,3 ROOM,308000
2012-03,3 ROOM,312000
2012-03,3 ROOM,312000
2012-03,3 ROOM,315000
2012-03,3 ROOM,315000
2012-03,3 ROOM,316000
2012-03,3 ROOM,318000
2012-03,3 ROOM,320000
2012-03,3 ROOM,320000
2012-03,3 ROOM,322000
2012-03,3 ROOM,325000
2012-03,3 ROOM,325000
2012-03,3 ROOM,328000
2012-03,3 ROOM,328000
2012-03,3 ROOM,328000
2012-03,3 ROOM,330000
2012-03,3 ROOM,330000
2012-03,3 ROOM,330000
2012-03,3 ROOM,333000
2012-03,3 ROOM,335000
2012-03,3 ROOM,335000
2012-03,3 ROOM,337000
2012-03,3 ROOM,340000
2012-03,3 ROOM,340000
2012-03,3 ROOM,340000
2012-03,3 ROOM,345000
2012-03,3 ROOM,345000
2012-03,3 ROOM,348000
2012-03,3 ROOM,350000
2012-03,3 ROOM,350000
2012-03,3 ROOM,350000
2012-03,3 ROOM,350000
2012-03,3 ROOM,357800
2012-03,3 ROOM,358000
2012-03,3 ROOM,358000
2012-03,3 ROOM,360000
2012-03,3 ROOM,360000
2012-03,3 ROOM,363000
2012-03,3 ROOM,366000
2012-03,4 ROOM,381000
2012-03,4 ROOM,385000
2012-03,3 ROOM,385000
2012-03,3 ROOM,386000
2012-03,3 ROOM,388000
2012-03,4 ROOM,393000
2012-03,4 ROOM,395000
2012-03,4 ROOM,400000
2012-03,4 ROOM,400000
2012-03,4 ROOM,400000
2012-03,4 ROOM,400000
2012-03,4 ROOM,403000
2012-03,4 ROOM,405000
2012-03,4 ROOM,406000
2012-03,4 ROOM,407000
2012-03,4 ROOM,408000
